Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
98,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q80BAFXZC) - Titan Black",(147 Reviews),"$1,499.99",$20,Samsung,LED,65,4K
99,"Sony X80K 50"" 4K UHD HDR LED Smart Google TV (KD50X80K) - 2022",(459 Reviews),$829.99,15.5,Sony,LED,50,4K
100,"Sony BRAVIA XR A95K 55"" 4K UHD HDR OLED Smart Google TV (XR55A95K) - 2022",(325 Reviews),"$3,499.99",NA,Sony,OLED,55,4K
101,"Amazon Fire TV 4-Series 50"" 4K UHD HDR LED Smart TV (B08T6G1DCB) - 2021",(16 Reviews),$429.99,$90,Amazon fire TV,LED,50,4K
102,"Samsung 85"" 4K UHD HDR LED Tizen OS Smart TV (UN85TU7000FXZC) - 2020 - Titan Grey - Open Box",(0 Reviews),"$1,439.99",15.5,Samsung,LED,85,4K
103,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey",(41 Reviews),$699.99,$50,LG,LED,55,4K
104,"TCL 6-Series 55"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (55R635-CA)",(1032 Reviews),$849.98,15.5,NA,LED,55,4K
105,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q70CAFXZC) - 2023",(33 Reviews),"$1,599.99",15.5,Samsung,LED,65,4K
106,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7590PUB) - 2022 - Dark Iron Grey",(26 Reviews),$899.99,$300,LG,LED,65,4K
107,"TCL 5-Series 75"" 4K UHD HDR QLED Roku OS Smart TV (75S535-CA)",(188 Reviews),$999.99,15.5,NA,LED,75,4K
108,"Sony X85K 65"" 4K UHD HDR LED Smart Google TV (KD65X85K) - 2022",(426 Reviews),"$1,399.99",15.5,Sony,LED,65,4K
109,"LG G3 77"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED77G3PUA) - 2023 - Satin Silver",(32 Reviews),"$5,999.99",NA,LG,OLED,77,4K
110,"TCL 4-Series 65"" 4K UHD HDR LED Roku Smart TV (65S455-CA) - 2022",(703 Reviews),$699.95,$50,NA,LED,65,4K
111,"TCL 5-Series 65"" 4K UHD HDR QLED Smart Google TV (65S546-CA) - 2021",(217 Reviews),$849.99,$113,NA,LED,65,4K
112,"LG 70"" 4K UHD HDR LED webOS Smart TV (70UQ7590PUB) - 2022 - Dark Iron Grey",(710 Reviews),$999.99,NA,LG,LED,70,4K
113,"TCL 50"" S-Series 4K UHD HDR LED Smart Google TV (50S450G-CA) - 2023",(0 Reviews),$399.99,NA,NA,LED,50,4K
114,"TCL 75"" QM-Series 4K UHD HDR QLED Smart Google TV (75QM850G-CA) - 2023",(2 Reviews),"$2,499.99",$100,TCL 75,LED,75,4K
115,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU8000FXZC) - 2023",(66 Reviews),$999.99,$100,Samsung,LED,65,4K
116,"LG 50"" 4K UHD HDR LED webOS Smart TV (50NANO75UQA) - 2022 - Ashed Blue",(448 Reviews),$649.99,$400,LG,LED,50,4K
117,"LG 65"" 4K UHD HDR QNED webOS Smart TV (65QNED85UQA) - 2022 - Dark Titan Silver/Ashed Blue",(306 Reviews),"$1,799.99",15.5,LG,QNED,65,4K
118,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q70CAFXZC) - 2023",(33 Reviews),"$1,199.99",12.2,Samsung,LED,55,4K
119,"Sony X85K 43"" 4K UHD HDR LED Smart Google TV (KD43X85K) - 2022",(452 Reviews),$849.99,$300,Sony,LED,43,4K
120,"LG NanoCell 75"" 4K UHD HDR LED webOS Smart TV (75NANO75UQA) - 2022 - Ashed Blue",(375 Reviews),"$1,299.99",NA,LG,LED,75,4K
121,"TCL 65"" Q-Series 4K UHD HDR QLED Smart Google TV (65Q650G-CA) - 2023",(1 Review),$749.99,15.5,NA,LED,65,4K
122,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55AU8000FXZC) - 2021",(5279 Reviews),$749.95,NA,Samsung,LED,55,4K
123,"TCL 6-Series 55"" 4K UHD HDR QLED Mini-LED Smart Google TV (55R646-CA) - 2021",(581 Reviews),$899.99,15.5,NA,LED,55,4K
124,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q60CAFXZC) - 2023 - Titan Grey",(98 Reviews),$999.99,7.5,Samsung,LED,55,4K
125,"Insignia 24"" 720p LED TV (NS-24D310CA21) - 2020 - Only at Best Buy",(14 Reviews),$249.99,$50,Insignia,LED,24,720p
126,"LG 55"" 4K UHD HDR LED webOS Smart TV (55NANO75UQA) - 2022 - Ashed Blue",(439 Reviews),$749.99,NA,LG,LED,55,4K
127,"TCL 6-Series 65"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (65R635-CA)",(694 Reviews),"$1,299.99",15.5,NA,LED,65,4K
128,"Sony BRAVIA XR 77"" 4K UHD HDR OLED Google TV Smart TV (XR77A80K) - 2022 - Titanium Black",(1018 Reviews),"$3,999.99",NA,Sony,OLED,77,4K
129,"TCL 55"" Q-Series 4K UHD HDR QLED Smart Google TV (55Q750G-CA) - 2023",(2 Reviews),$899.99,15.5,NA,LED,55,4K
130,"Sony X80K 75"" 4K UHD HDR LED Smart Google TV (KD75X80K) - 2022",(460 Reviews),"$1,699.99",15.5,Sony,LED,75,4K
131,"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58CU7000FXZC) - 2023 - Titan Grey",(117 Reviews),$849.99,15.5,Samsung,LED,58,4K
132,"Sony X80K 85"" 4K UHD HDR LED Smart Google TV (KD85X80K) - 2022",(263 Reviews),"$2,399.99",15.5,Sony,LED,85,4K
133,"LG G3 55"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED55G3PUA) - 2023 - Satin Silver",(31 Reviews),"$3,099.99",$15,LG,OLED,55,4K
134,"Open Box - Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",(7557 Reviews),$239.99,$30,Samsung,LED,32,1080p
135,"Open Box - Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU690TFXZC) - 2022",(1 Review),$479.99,$100,Samsung,LED,55,4K
136,"Samsung 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN90CAFXZC) - 2023 - Titan Black",(14 Reviews),"$3,199.99",$100,Samsung,LED,65,4K
137,"LG 55"" 4K UHD HDR QNED webOS Smart TV (55QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",(724 Reviews),$999.99,12.2,LG,QNED,55,4K
138,"Samsung 43"" 4K UHD HDR QLED Tizen Smart TV (QN43QN90BAFXZC) - Titan Black",(138 Reviews),"$1,599.95",$50,Samsung,LED,43,4K
139,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q75AAFXZC) - Only at Best Buy - Open Box",(0 Reviews),$799.99,"$3,999.99",Samsung,LED,55,4K
140,"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S95CAFXZC) - 2023 - Titan Black",(57 Reviews),NA,NA,Samsung,OLED,65,4K
141,"TCL 55"" S-Series 4K UHD HDR LED Smart Google TV (55S450G-CA) - 2023",(0 Reviews),$449.99,15.5,NA,LED,55,4K
142,"Sony BRAVIA XR A90K 48"" 4K UHD HDR OLED Smart Google TV (XR48A90K) - 2022",(445 Reviews),"$1,899.99",NA,Sony,OLED,48,4K
143,"TCL 65"" Q-Series 4K UHD HDR QLED Smart Google TV (65Q750G-CA) - 2023",(0 Reviews),"$1,099.99",12.2,NA,LED,65,4K
144,"LG OLED Flex 42"" 4K UHD HDR Curved OLED webOS Smart TV (42LX3QPUA)",(4 Reviews),"$3,999.99",NA,LG,OLED,42,4K
145,"TCL 43"" S-Series 4K UHD HDR LED Smart Google TV (43S450G-CA) - 2023",(0 Reviews),$329.99,$23,NA,LED,43,4K
146,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU7000FXZC) - Titan Grey",(14 Reviews),$359.99,NA,Samsung,LED,43,4K
147,"Open Box - Insignia 24"" 720p LED TV (NS-24D310CA21) - 2020 - Only at Best Buy",(5 Reviews),$149.99,NA,Insignia,LED,24,720p
148,"Toshiba 43"" 1080p HD LED Smart TV (43V35C) - Fire TV Edition - 2021",(6 Reviews),$449.99,NA,Toshiba,LED,43,1080p
149,"Samsung The Frame 85"" 4K UHD HDR QLED Tizen Smart TV (QN85LS03BAFXZC) - 2022 - Charcoal Black",(410 Reviews),"$5,499.99",15.5,Samsung,LED,85,4K
150,"Sony X85K 55"" 4K UHD HDR LED Smart Google TV (KD55X85K) - 2022",(286 Reviews),"$1,099.99",15.5,Sony,LED,55,4K
151,"Sony X85K 50"" 4K UHD HDR LED Smart Google TV (KD50X85K) - 2022",(176 Reviews),$949.99,15.5,Sony,LED,50,4K
152,"LG 77"" 4K UHD HDR OLED webOS ThinQ AI Smart TV (OLED77B2PUA) - 2022",(821 Reviews),"$2,999.99",15.5,LG,OLED,77,4K
153,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU690TFXZC) - 2022 - Only at Best Buy",(1575 Reviews),"$1,399.99",$100,Samsung,LED,75,4K
154,"Insignia 70"" 4K UHD HDR LCD Fire OS Smart TV (NS-70F301CA23) - 2022",(1 Review),$699.99,15.5,Insignia,LCD,70,4K
155,"Samsung 55"" 4K UHD HDR Neo QLED Tizen Smart TV (QN55QN88BAFXZC) - Titan Black - Only at Best Buy",(3 Reviews),"$1,599.99",$300,Samsung,LED,55,4K
